的,de
我,EU
你,você
了,Já
是,sim
在,existir
他,ele
我们,nós
不,Não
吗,Ma
好,bom
什么,O que
有,ter
就,Imediatamente
吧,Bar
她,ela
这,esse
知道,Saber
说,explicar
都,Todos
去,ir
很,muito
啊,ah
要,querer
也,também
他们,eles
和,e
那,Que
想,pensar
人,pessoas
会,reunião
一个,um
来,Vir
把,Pacote
对,certo
没有,Não
做,Fazer
不是,não
让,deixar
给,Dar
you,você
可以,Pode
i,eu
你们,você
呢,Tecido de lã
但,mas
l,l
到,chegar
还,retornar
现在,Agora
the,o
这个,esse
能,capaz
怎么,como
就是,aquilo é
跟,e
如果,se
没,sem
它,isto
走,Andar
上,superior
得,precisa
被,colcha
这里,aqui
这样,então
个,indivíduo
看,olhar
事,coisa
to,para
自己,Ter
着,Vestindo
谁,Quem
过,Passar
不会,Não vai
a,um
告诉,Dizer
s,s
为什么,Por que
不能,não pode
真的,real
m,m
先生,senhores
只是,apenas
不要,não quero
这是,Isso é
已经,já
再,De novo
哦,oh
需要,precisar
it,isto
因为,porque
谢谢,Obrigado
像,foto
这么,então
可能,possível
但是,mas
那个,que
所以,então
喜欢,como
又,de novo
叫,Chamar
快,rápido
我要,Eu quero
觉得,sentir
别,Não
听,ouvir
找,tente encontrar
里,dentro
还有,além do mais
时候,quando
东西,coisa
等,espere
死,morrer
多,muitos
从,de
我会,Eu posso
一起,Junto
and,e
应该,deve
我們,nós
这些,Esses
that,que
t,t
请,por favor
孩子,criança
看到,Ver
一下,uma vez
那么,Então
为,para
嗎,Está correto?
而,e
of,de
您,você
才,talento
用,usar
还是,ainda
嗯,Um
问题,pergunta
工作,Trabalhar
一样,Mesmo
呀,ah
开始,começar
吃,comer
嘿,Ei
当,quando
真,real
中,meio
然后,Então
看看,Dê uma olhada
說,dizer
地方,lugar
一定,deve
将,Vai
希望,ter esperança
朋友,amigo
今天,hoje
拿,pegar
一,um
啦,La
in,em
事情,matéria
一直,Sempre
所有,todos
we,nós
找到,virar para cima
什麼,o que
哪,onde
当然,certamente
们,Eles
回来,retornar
不想,Sem ânimo nenhum
更,Até
最,maioria
帮,ajuda
is,é
没事,multar
只,Apenas
那些,Aqueles
可,Pode
明白,claro
的话,Se
爸爸,pai
what,O que
下,Abaixo
太,também
离开,deixar
一切,tudo
时间,tempo
相信,acreditar
chffffff,chffffff
妈妈,Mãe
想要,quero
爱,como
发生,ocorrer
打,bater
点,apontar
來,Vir
钱,dinheiro
大,grande
起来,ficar de pé
